0,86,0,-1
0,27,0,-1
1,12,0,-1
1,57,0,-1
1,38,0,-1
1,38,0,-1
1,38,0,-1
1,38,0,-1
1,38,0,-1
2,72,0,-1
2,62,0,-1
2,90,0,-1
3,84,0,-1
4,14,0,-1
4,49,0,-1
4,84,0,-1
4,84,0,-1
4,84,0,-1
5,35,0,-1
5,89,0,-1
5,89,0,-1
5,89,0,-1
6,56,0,-1
6,70,0,-1
7,90,0,-1
7,72,0,-1
8,45,0,-1
8,99,0,-1
8,23,0,-1
9,98,0,-1
10,69,0,-1
10,17,0,-1
11,23,0,-1
11,66,0,-1
11,99,0,-1
12,87,0,-1
13,18,0,-1
13,19,0,-1
13,44,0,-1
14,53,0,-1
14,21,0,-1
14,21,0,-1
14,21,0,-1
15,27,0,-1
15,56,0,-1
15,68,0,-1
15,62,0,-1
16,73,0,-1
16,65,0,-1
16,31,0,-1
17,38,0,-1
18,31,0,-1
18,65,0,-1
19,24,0,-1
19,32,0,-1
20,71,0,-1
20,21,0,-1
21,84,0,-1
22,57,0,-1
22,97,0,-1
22,36,0,-1
23,41,0,-1
24,45,0,-1
25,55,0,-1
25,86,0,-1
26,85,0,-1
26,34,0,-1
26,37,0,-1
26,37,0,-1
26,37,0,-1
28,39,0,-1
28,55,0,-1
28,74,0,-1
29,49,0,-1
30,78,0,-1
30,50,0,-1
30,39,0,-1
31,60,0,-1
32,44,0,-1
32,41,0,-1
33,61,0,-1
33,63,0,-1
33,63,0,-1
33,63,0,-1
34,46,0,-1
34,47,0,-1
34,47,0,-1
34,47,0,-1
34,47,0,-1
35,87,0,-1
35,69,0,-1
35,69,0,-1
35,69,0,-1
36,83,0,-1
36,72,0,-1
36,48,0,-1
37,81,0,-1
37,47,0,-1
38,48,0,-1
39,88,0,-1
40,64,0,-1
40,80,0,-1
41,45,0,-1
42,97,0,-1
43,94,0,-1
43,52,0,-1
43,68,0,-1
43,62,0,-1
44,65,0,-1
46,53,0,-1
47,95,0,-1
48,57,0,-1
48,57,0,-1
48,57,0,-1
48,97,0,-1
50,74,0,-1
51,74,0,-1
51,92,0,-1
51,55,0,-1
52,58,0,-1
52,56,0,-1
54,82,0,-1
54,96,0,-1
58,76,0,-1
59,67,0,-1
59,93,0,-1
59,91,0,-1
60,76,0,-1
60,73,0,-1
61,91,0,-1
62,81,0,-1
62,68,0,-1
62,68,0,-1
62,68,0,-1
63,93,0,-1
63,82,0,-1
67,98,0,-1
67,98,0,-1
67,98,0,-1
68,90,0,-1
68,85,0,-1
